Mac-ID,SMILES,Avg-B-Score,Avg-Res-Growth,Active
MAC-0152106,"c1(c2c([nH]c1)ccc(c2)OCc1ccccc1)CN(C)C	",-3.684,0.9745,0
MAC-0168100,"c12[nH]c3c(c1CCN=C2C)ccc(c3)O.Cl.O	",-0.298,0.8965,0
MAC-0152108,"c12=NCCn1c1c(s2)ccc(c1)N	",-0.0325,0.985,0
MAC-0152109,"N1(c2cc(OC)ccc2)CCNCC1	",0.5585,0.9605,0
MAC-0152110,"[nH]1c2c(c3c1cccc3)ccnc2	",-8.1795,0.9005,0
MAC-0152111,"N1(c2cc(c(cc2)C)C)CCNCC1	",0.936,0.9885,0
MAC-0152112,"N1(CCNCC1)c1c(C)cccc1	",2.142,1.0025,0
MAC-0152113,"n1(ncnc1)c1ccc(cc1)O	",1.0235,1.0625,0
MAC-0152114,"c1(c(c(c(c(c1F)F)F)F)F)CO	",2.927,1.0275,0
MAC-0152115,"c12c(c(=O)[nH]cn1)c(cc(n2)C)C	",-1.2205,0.879,0
MAC-0152116,"c1(S(=O)(=O)O)nc2c(n1C)cccc2	",0.066,0.978,0
MAC-0152117,"c1(nn(c(c1)O)C)C(F)(F)F	",-0.0235,0.9465,0
MAC-0152118,"c1(=O)[nH]c2c(o1)cc(cc2)Cl	",-2.5085,0.9425,0
MAC-0152119,"n1c(c2c(nc1SC)cccc2)N	",-3.4535,0.939,0
MAC-0152120,"N(=C\c1ccccc1)\c1c2c(ccc1)cccc2	",2.0795,0.9955,0
MAC-0152121,"S(=O)(=O)(Oc1c2c([nH]c1)cccc2)O[K]	",1.8655,1.059,0
MAC-0152122,"c1(oc2c(c1)cccc2OC)C(=O)O	",0.7135,1.0095,0
MAC-0152123,"n1c(nc(nc1N)OCC)NC	",-1.23,0.8825,0
MAC-0152124,"C(=O)(C1(N)CCSCC1)O	",-1.5645,0.964,0
MAC-0152125,"c1(c(N)ccnc1)Br	",0.5495,0.9535,0
MAC-0152126,"n1c(sc2c1cccc2)O	",2.212,0.9885,0
MAC-0152127,"c1(c2c(CCCC2)nc2c1cccc2)C(=O)O	",2.5305,0.9955,0
MAC-0152128,"N1C(CC(=O)CC1(C)C)(C)C	",-0.053,0.978,0
MAC-0001001,"n1c(NC(=O)C)scc1c1sccc1	",-3.053,1.0165,0
MAC-0001002,"S(=O)(=O)(c1sc(c2nc(sc2)C)cc1)N(CC)CC	",0.5,0.9885,0
MAC-0001008,"c1(c(ncc(c1)Cl)N1CCN(CC1)CCO)C(F)(F)F	",-1.444,0.8615,0
MAC-0001018,"n1n(c2c(n1)ccc(C(F)(F)F)c2)O	",-2.621,0.9355,0
MAC-0001024,"S(=O)(=O)(N1CCN(c2nc(C(F)(F)F)ccn2)CC1)c1ccc(N2C(=O)CCC2=O)cc1	",-4.6545,0.8865,0
MAC-0001029,"[N+](=O)(c1c(N2CCN(CC2)CCO)nccc1)[O-]	",-0.0265,0.95,0
MAC-0001030,"c1(nc(nc(c1Cl)C)c1ncccc1)N1CCN(CC1)CCO	",0.292,0.957,0
MAC-0001031,"c1(c(nn(c1)C)C(F)(F)F)S(=O)(=O)NCc1cc2c(OCO2)cc1	",0.4945,0.964,0
MAC-0001033,"c1(n(ncc1)c1ccc(NC(=O)c2ccc(cc2)Cl)cc1)C(F)(F)F	",5.79,1.08,0
MAC-0001040,"C(c1nc(ncc1)NCc1ccc(Cl)cc1)(F)(F)F	",-1.956,0.978,0
MAC-0152139,"C1(C2OC(C1)CC2)C(=O)NNC(=S)NC(C)C	",1.01,0.8965,0
MAC-0001048,"C(=O)(Nc1ccc(OC(F)(F)F)cc1)Nc1ccc(C2=NCCO2)cc1	",0.5135,0.978,0
MAC-0001049,"C(=CNCCNc1c(C(F)(F)F)cccn1)(C(=O)OCC)C(=O)OCC	",-0.0775,0.9425,0
MAC-0001051,"c1(ncc(C(F)(F)F)cc1Cl)N1CCN(CC(=O)Nc2c(F)cccc2F)CCC1	",-0.3585,0.9605,0
MAC-0001052,"c1(c(csc1N)c1ncc(cc1)C)C(=O)OCC	",-0.2205,0.964,0
MAC-0001053,"c1(c(csc1N)c1ccc(cc1)F)C(=O)OCC	",-2.042,0.953,0
MAC-0001062,"C(c1nc(ncc1)SCC(=O)c1cnccc1)(F)(F)F	",0.288,1.0415,0
MAC-0001063,"N1(c2c(C(F)(F)F)cccn2)C(=S)NCC1	",-0.1905,0.9955,0
MAC-0001067,"C(c1nc(ncc1)SCC(=O)Nc1ccc(Br)cc1)(F)(F)F	",-0.0115,0.8895,0
MAC-0001070,"C(=O)(c1occc1)Nc1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1	",1.7775,0.992,0
MAC-0001075,"C(Oc1ccc(Oc2ccc(NC(=O)CSCC(=O)O)cc2)cc1)(F)(F)F	",0.4245,0.95,0
MAC-0001079,"C(Oc1ccc(Oc2ccc(NC(=O)CCC(=O)O)cc2)cc1)(F)(F)F	",0.224,0.9675,0
MAC-0001083,"n1(ccc2c1cccc2)CC(O)CNCCc1cc(c(cc1)OC)OC	",-1.9215,0.95,0
MAC-0001086,"C1(=NCCO1)c1ccc(NC(=S)NCc2occc2)cc1	",-0.778,0.9675,0
MAC-0001087,"c1([nH]c2c(c1)cccc2)c1sccc1	",-8.347,0.9635,0
MAC-0001095,"C(c1nc(ncc1)Oc1ccc(/C=N/CCc2cc(c(cc2)OC)OC)cc1)(F)(F)F	",-2.167,0.985,0
MAC-0001097,"C(c1nc(ncc1)Oc1ccc(/C=N/NC(=S)Nc2cc(ccc2Cl)Cl)cc1)(F)(F)F	",6.0305,0.95,0
